id,name,height,weight,base_experience,total_base_stats,attack,defense,hp,special-attack,special-defense,speed,type_1,type_2,offensive_effectiveness,defensive_multiplier_mean,n_moves,max_move_power,mean_move_power,max_power_physical,max_power_special,defensive_multiplier_mean_clipped,defensive_raw,offensive_raw,total_base_stats_norm,max_move_power_norm,offensive_effectiveness_norm,defensive_survivability_norm
221,piloswine,11,558,158.0,450,100,80,100,60,60,50,ice,ground,1.119047619047619,1.1666666666666667,49.0,150.0,69.79591836734694,150.0,150.0,1.1666666666666667,205.7142857142857,671.4285714285714,0.2894736842105263,0.6,0.9000000000000004,0.21237507348618456
222,corsola,6,50,144.0,410,55,95,65,65,95,35,water,rock,1.0952380952380953,1.1547619047619047,47.0,250.0,76.80851063829788,250.0,120.0,1.1547619047619047,220.82474226804126,722.8571428571429,0.24736842105263157,1.0,0.8000000000000006,0.23439820117941543
223,remoraid,6,120,60.0,300,65,35,35,65,35,65,water,,1.0714285714285714,1.0,43.0,150.0,71.62790697674419,120.0,150.0,1.0,105.0,482.1428571428571,0.13157894736842105,0.6,0.7000000000000001,0.06558641975308642
224,octillery,9,285,168.0,480,105,75,75,105,75,45,water,,1.0714285714285714,1.0,53.0,150.0,69.43396226415095,150.0,150.0,1.0,225.0,675.0,0.32105263157894737,0.6,0.7000000000000001,0.2404835390946502
225,delibird,9,160,116.0,330,55,45,45,65,45,75,ice,flying,1.0833333333333335,1.1904761904761905,62.0,150.0,71.53225806451613,150.0,150.0,1.1904761904761905,113.4,520.0000000000001,0.1631578947368421,0.6,0.7500000000000008,0.07782921810699589
226,mantine,21,2200,170.0,485,40,70,85,80,140,70,water,flying,1.0714285714285714,1.0238095238095237,53.0,150.0,72.45283018867924,150.0,150.0,1.0238095238095237,288.13953488372096,680.3571428571429,0.3263157894736842,0.6,0.7000000000000001,0.3325078954923916
227,skarmory,17,505,163.0,465,80,140,65,40,70,70,steel,flying,1.0595238095238095,0.7857142857142857,51.0,150.0,69.80392156862744,150.0,150.0,0.7857142857142857,350.0,651.6071428571429,0.30526315789473685,0.6,0.6500000000000002,0.42266803840877915
228,houndour,6,108,66.0,330,60,30,45,80,50,65,dark,fire,1.0595238095238095,1.0,53.0,130.0,70.11320754716981,120.0,130.0,1.0,125.0,487.3809523809524,0.1631578947368421,0.52,0.6500000000000002,0.09473593964334705
229,houndoom,14,350,175.0,500,90,50,75,110,80,95,dark,fire,1.0595238095238095,1.0,54.0,150.0,75.66666666666667,150.0,150.0,1.0,205.0,688.6904761904761,0.34210526315789475,0.6,0.6500000000000002,0.21133401920438957
230,kingdra,18,1520,243.0,540,95,95,75,95,95,85,water,dragon,1.0238095238095237,1.0,48.0,150.0,75.72916666666667,150.0,150.0,1.0,265.0,706.4285714285713,0.38421052631578945,0.6,0.4999999999999998,0.29878257887517146
231,phanpy,5,335,66.0,330,60,60,90,40,40,40,ground,,1.1428571428571428,1.0476190476190477,44.0,150.0,73.75,150.0,90.0,1.0476190476190477,181.36363636363635,548.5714285714286,0.1631578947368421,0.6,1.0,0.1768845866068088
232,donphan,11,1200,175.0,500,120,120,90,60,60,50,ground,,1.1428571428571428,1.0476190476190477,57.0,150.0,74.29824561403508,150.0,150.0,1.0476190476190477,257.7272727272727,742.8571428571428,0.34210526315789475,0.6,1.0,0.2881827534605312
233,porygon2,6,325,180.0,515,80,90,85,105,95,60,normal,,0.9047619047619048,1.0,37.0,150.0,83.37837837837837,150.0,150.0,1.0,270.0,601.6666666666666,0.35789473684210527,0.6,0.0,0.30606995884773663
234,stantler,14,712,163.0,465,95,62,73,85,65,85,normal,,0.9047619047619048,1.0,56.0,150.0,78.48214285714286,150.0,150.0,1.0,200.0,556.4285714285714,0.30526315789473685,0.6,0.0,0.20404663923182442
235,smeargle,12,580,88.0,250,20,35,55,20,45,75,normal,,0.9047619047619048,1.0,,,,,,1.0,135.0,226.1904761904762,0.07894736842105263,0.0,0.0,0.10931069958847736
236,tyrogue,7,210,42.0,210,35,35,35,35,35,35,fighting,,1.0714285714285714,1.0714285714285714,35.0,130.0,66.42857142857143,130.0,90.0,1.0714285714285714,98.0,364.2857142857143,0.03684210526315789,0.52,0.7000000000000001,0.0553840877914952
237,hitmontop,14,480,159.0,455,95,95,50,35,110,70,fighting,,1.0714285714285714,1.0714285714285714,52.0,150.0,67.40384615384616,150.0,120.0,1.0714285714285714,238.0,648.2142857142857,0.29473684210526313,0.6,0.7000000000000001,0.2594307270233196
238,smoochum,4,60,61.0,305,30,15,45,85,65,65,ice,psychic,1.0476190476190477,1.2380952380952381,38.0,120.0,67.10526315789474,120.0,110.0,1.2380952380952381,100.96153846153845,445.23809523809524,0.1368421052631579,0.48,0.6000000000000004,0.05970045900601455
239,elekid,6,235,72.0,360,63,37,45,65,55,95,electric,,0.9761904761904762,0.9761904761904762,49.0,150.0,73.9795918367347,150.0,120.0,0.9761904761904762,140.34146341463415,497.85714285714283,0.19473684210526315,0.6,0.29999999999999993,0.11709575429087625
240,magby,7,214,73.0,365,75,37,45,70,55,83,fire,,1.0952380952380953,1.0,50.0,150.0,73.3,150.0,130.0,1.0,137.0,564.0476190476192,0.2,0.6,0.8000000000000006,0.11222565157750343
241,miltank,12,755,172.0,490,80,105,95,40,70,100,normal,,0.9047619047619048,1.0,57.0,150.0,81.49122807017544,150.0,150.0,1.0,270.0,579.047619047619,0.33157894736842103,0.6,0.0,0.30606995884773663
242,blissey,15,468,608.0,540,10,10,255,75,135,55,normal,,0.9047619047619048,1.0,75.0,150.0,75.86666666666666,150.0,150.0,1.0,400.0,624.2857142857143,0.38421052631578945,0.6,0.0,0.4955418381344307
243,raikou,19,1780,261.0,580,85,75,90,115,100,115,electric,,0.9761904761904762,0.9761904761904762,49.0,150.0,74.89795918367346,150.0,150.0,0.9761904761904762,271.4634146341464,712.6190476190476,0.4263157894736842,0.6,0.29999999999999993,0.308202850547024
244,entei,21,1980,261.0,580,115,85,115,90,75,100,fire,,1.0952380952380953,1.0,49.0,150.0,78.87755102040816,150.0,150.0,1.0,275.0,799.5238095238096,0.4263157894736842,0.6,0.8000000000000006,0.31335733882030176
245,suicune,20,1870,261.0,580,75,115,100,90,115,85,water,,1.0714285714285714,1.0,52.0,150.0,71.25,150.0,150.0,1.0,330.0,782.1428571428571,0.4263157894736842,0.6,0.7000000000000001,0.3935185185185185
246,larvitar,6,720,60.0,300,64,50,50,45,50,41,rock,ground,1.130952380952381,1.2976190476190477,48.0,150.0,73.64583333333333,150.0,150.0,1.2976190476190477,115.59633027522935,508.92857142857144,0.13157894736842105,0.6,0.9500000000000002,0.08103031675916486
247,pupitar,12,1520,144.0,410,84,70,70,65,70,51,rock,ground,1.130952380952381,1.2976190476190477,49.0,150.0,74.6938775510204,150.0,150.0,1.2976190476190477,161.8348623853211,633.3333333333334,0.24736842105263157,0.6,0.9500000000000002,0.14842186733114357
248,tyranitar,20,2020,270.0,600,134,110,100,95,100,61,rock,dark,1.0714285714285714,1.2380952380952381,92.0,150.0,75.92391304347827,150.0,150.0,1.2380952380952381,250.3846153846154,803.5714285714286,0.4473684210526316,0.6,0.7000000000000001,0.27748100664767333
249,lugia,52,2160,306.0,680,90,130,106,90,154,110,psychic,flying,1.0357142857142856,1.1071428571428572,74.0,150.0,77.29729729729729,150.0,150.0,1.1071428571428572,352.258064516129,859.642857142857,0.531578947368421,0.6,0.5499999999999996,0.4259591132350989
250,ho-oh,38,1990,306.0,680,130,90,106,110,154,90,fire,flying,1.0833333333333335,1.0238095238095237,64.0,150.0,80.546875,150.0,150.0,1.0238095238095237,341.8604651162791,899.1666666666667,0.531578947368421,0.6,0.7500000000000008,0.4108048617092545
251,celebi,6,50,270.0,600,100,100,100,100,100,100,psychic,grass,0.9880952380952381,1.2857142857142858,46.0,150.0,78.69565217391305,150.0,150.0,1.2857142857142858,233.33333333333331,741.0714285714286,0.4473684210526316,0.6,0.35000000000000026,0.2526291723822588
252,treecko,5,50,62.0,310,45,35,40,65,55,70,grass,,0.9761904761904762,1.1428571428571428,59.0,150.0,68.22033898305085,150.0,130.0,1.1428571428571428,113.75,449.04761904761904,0.14210526315789473,0.6,0.29999999999999993,0.07833933470507544
253,grovyle,9,216,142.0,405,65,45,50,85,65,95,grass,,0.9761904761904762,1.1428571428571428,63.0,150.0,68.41269841269842,150.0,130.0,1.1428571428571428,140.0,541.7857142857142,0.24210526315789474,0.6,0.29999999999999993,0.11659807956104253
254,sceptile,17,522,239.0,530,85,65,70,105,85,120,grass,,0.9761904761904762,1.1428571428571428,80.0,150.0,71.125,150.0,150.0,1.1428571428571428,192.5,663.8095238095237,0.3736842105263158,0.6,0.29999999999999993,0.19311556927297668
255,torchic,4,25,62.0,310,60,40,45,70,50,45,fire,,1.0952380952380953,1.0,47.0,140.0,71.27659574468085,140.0,130.0,1.0,135.0,492.8571428571429,0.14210526315789473,0.56,0.8000000000000006,0.10931069958847736
256,combusken,9,195,142.0,405,85,60,60,85,60,55,fire,fighting,1.0833333333333335,1.0357142857142858,63.0,150.0,72.22222222222223,150.0,130.0,1.0357142857142858,173.79310344827584,601.2500000000001,0.24210526315789474,0.6,0.7500000000000008,0.16585071661700013
257,blaziken,19,520,239.0,530,120,70,80,110,70,80,fire,fighting,1.0833333333333335,1.0357142857142858,80.0,150.0,78.0625,150.0,150.0,1.0357142857142858,212.41379310344826,736.6666666666667,0.3736842105263158,0.6,0.7500000000000008,0.22213944468095168
258,mudkip,4,76,62.0,310,70,50,50,50,50,40,water,,1.0714285714285714,1.0,49.0,120.0,70.40816326530613,120.0,110.0,1.0,150.0,460.7142857142857,0.14210526315789473,0.48,0.7000000000000001,0.13117283950617284
259,marshtomp,7,280,142.0,405,85,70,70,60,70,50,water,ground,1.1071428571428572,1.0,58.0,150.0,73.36206896551724,150.0,110.0,1.0,210.0,614.4642857142858,0.24210526315789474,0.6,0.8500000000000005,0.21862139917695472
260,swampert,15,819,241.0,535,110,90,100,85,90,60,water,ground,1.1071428571428572,1.0,76.0,150.0,77.30263157894737,150.0,150.0,1.0,280.0,758.3928571428572,0.37894736842105264,0.6,0.8500000000000005,0.32064471879286693
261,poochyena,5,136,56.0,220,55,35,35,30,30,35,dark,,1.0238095238095237,1.0476190476190477,39.0,120.0,68.46153846153847,120.0,90.0,1.0476190476190477,95.45454545454545,348.0952380952381,0.04736842105263158,0.48,0.4999999999999998,0.05167414889637112
262,mightyena,10,370,147.0,420,90,70,70,60,60,70,dark,,1.0238095238095237,1.0476190476190477,43.0,150.0,72.79069767441861,150.0,150.0,1.0476190476190477,190.9090909090909,583.5714285714286,0.2578947368421053,0.6,0.4999999999999998,0.19079685746352412
263,zigzagoon,4,175,56.0,240,30,41,38,30,41,60,normal,,0.9047619047619048,1.0,43.0,140.0,68.37209302325581,140.0,110.0,1.0,120.0,343.8095238095238,0.06842105263157895,0.56,0.0,0.0874485596707819
264,linoone,5,325,147.0,420,70,61,78,50,61,100,normal,,0.9047619047619048,1.0,49.0,150.0,71.6938775510204,150.0,150.0,1.0,200.0,515.7142857142857,0.2578947368421053,0.6,0.0,0.20404663923182442
265,wurmple,3,36,56.0,195,45,35,45,20,30,20,bug,,0.9761904761904762,1.0714285714285714,5.0,60.0,44.0,60.0,55.0,1.0714285714285714,102.66666666666667,248.92857142857142,0.021052631578947368,0.24,0.29999999999999993,0.06218564243255602
266,silcoon,6,100,72.0,205,35,55,50,25,25,15,bug,,0.9761904761904762,1.0714285714285714,4.0,60.0,42.5,60.0,55.0,1.0714285714285714,121.33333333333334,258.6904761904762,0.031578947368421054,0.24,0.29999999999999993,0.08939186099679929
267,beautifly,10,284,178.0,395,70,50,60,100,50,65,bug,flying,1.0238095238095237,1.1904761904761905,37.0,150.0,66.35135135135135,150.0,150.0,1.1904761904761905,134.4,557.9761904761905,0.23157894736842105,0.6,0.4999999999999998,0.10843621399176956
268,cascoon,7,115,72.0,205,35,55,50,25,25,15,bug,,0.9761904761904762,1.0714285714285714,4.0,60.0,42.5,60.0,55.0,1.0714285714285714,121.33333333333334,258.6904761904762,0.031578947368421054,0.24,0.29999999999999993,0.08939186099679929
269,dustox,12,316,173.0,385,50,70,60,50,90,65,bug,poison,0.9642857142857142,1.0476190476190477,37.0,150.0,69.86486486486487,150.0,150.0,1.0476190476190477,210.0,515.8928571428571,0.22105263157894736,0.6,0.24999999999999964,0.21862139917695472
270,lotad,5,26,44.0,220,30,30,40,40,50,30,water,grass,1.0238095238095237,1.0595238095238095,40.0,120.0,65.5,120.0,120.0,1.0595238095238095,113.25842696629213,348.0952380952381,0.04736842105263158,0.48,0.4999999999999998,0.07762287880889629
271,lombre,12,325,119.0,340,50,50,60,60,70,50,water,grass,1.0238095238095237,1.0595238095238095,60.0,120.0,66.88333333333334,120.0,120.0,1.0595238095238095,169.8876404494382,470.9523809523809,0.1736842105263158,0.48,0.4999999999999998,0.1601585980487354
272,ludicolo,15,550,216.0,480,70,70,80,90,100,70,water,grass,1.0238095238095237,1.0595238095238095,67.0,150.0,73.17910447761194,150.0,150.0,1.0595238095238095,235.95505617977528,645.0,0.32105263157894737,0.6,0.4999999999999998,0.2564502704952143
273,seedot,5,40,44.0,220,40,50,40,30,30,30,grass,,0.9761904761904762,1.1428571428571428,37.0,250.0,74.72972972972973,250.0,130.0,1.1428571428571428,105.0,458.8095238095238,0.04736842105263158,1.0,0.29999999999999993,0.06558641975308642
274,nuzleaf,10,280,119.0,340,70,40,70,60,40,60,grass,dark,1.0,1.2380952380952381,66.0,250.0,71.74242424242425,250.0,150.0,1.2380952380952381,121.15384615384615,590.0,0.1736842105263158,1.0,0.4000000000000001,0.08913026274137384
275,shiftry,13,596,216.0,480,100,60,90,90,60,80,grass,dark,1.0,1.2380952380952381,85.0,250.0,72.58823529411765,250.0,150.0,1.2380952380952381,169.6153846153846,730.0,0.32105263157894737,1.0,0.4000000000000001,0.15976179170623614
276,taillow,3,23,54.0,270,55,30,40,30,30,85,normal,flying,0.9880952380952381,1.0,29.0,140.0,68.79310344827586,140.0,140.0,1.0,100.0,405.11904761904765,0.1,0.56,0.35000000000000026,0.05829903978052126
277,swellow,7,198,159.0,455,85,60,60,75,50,125,normal,flying,0.9880952380952381,1.0,27.0,150.0,73.51851851851852,150.0,150.0,1.0,170.0,597.797619047619,0.29473684210526313,0.6,0.35000000000000026,0.16032235939643347
278,wingull,6,95,54.0,270,30,30,40,55,30,85,water,flying,1.0714285714285714,1.0238095238095237,48.0,140.0,68.02083333333333,140.0,110.0,1.0238095238095237,97.67441860465117,439.2857142857143,0.1,0.56,0.7000000000000001,0.05490956072351422
279,pelipper,12,280,154.0,440,50,100,60,95,70,65,water,flying,1.0714285714285714,1.0238095238095237,54.0,150.0,72.77777777777777,150.0,150.0,1.0238095238095237,224.6511627906977,632.1428571428571,0.2789473684210526,0.6,0.7000000000000001,0.23997511723609918
280,ralts,4,66,40.0,198,25,25,28,45,35,40,psychic,fairy,1.0357142857142856,1.0357142857142858,43.0,120.0,71.27906976744185,120.0,120.0,1.0357142857142858,84.9655172413793,329.35714285714283,0.024210526315789474,0.48,0.5499999999999996,0.03638664206991153
281,kirlia,8,202,97.0,278,35,35,38,65,55,50,psychic,fairy,1.0357142857142856,1.0357142857142858,42.0,150.0,71.42857142857143,120.0,150.0,1.0357142857142858,123.58620689655172,443.2857142857142,0.10842105263157895,0.6,0.5499999999999996,0.0926753701338631
282,gardevoir,16,484,233.0,518,65,65,68,125,115,80,psychic,fairy,1.0357142857142856,1.0357142857142858,51.0,150.0,75.0,150.0,150.0,1.0357142857142858,239.44827586206895,691.8571428571428,0.36105263157894735,0.6,0.5499999999999996,0.2615415543257178
283,surskit,5,17,54.0,269,30,32,40,50,52,65,bug,water,1.0238095238095237,1.0238095238095237,42.0,120.0,67.85714285714286,120.0,120.0,1.0238095238095237,121.11627906976746,398.2619047619047,0.09894736842105263,0.48,0.4999999999999998,0.0890755096181453
284,masquerain,8,36,159.0,454,60,62,70,100,82,80,bug,flying,1.0238095238095237,1.1904761904761905,56.0,150.0,70.53571428571429,150.0,150.0,1.1904761904761905,179.76,618.3809523809523,0.29368421052631577,0.6,0.4999999999999998,0.17454732510288065
285,shroomish,4,45,59.0,295,40,60,60,40,60,35,grass,,0.9761904761904762,1.1428571428571428,29.0,150.0,72.58620689655173,150.0,120.0,1.1428571428571428,157.5,434.40476190476187,0.12631578947368421,0.6,0.29999999999999993,0.14210390946502058
286,breloom,12,392,161.0,460,130,80,60,60,60,70,grass,fighting,1.0238095238095237,1.2380952380952381,61.0,150.0,75.49180327868852,150.0,150.0,1.2380952380952381,161.53846153846152,624.5238095238095,0.3,0.6,0.4999999999999998,0.1479898702120924
287,slakoth,8,240,56.0,280,60,60,60,35,35,30,normal,,0.9047619047619048,1.0,63.0,150.0,74.04761904761905,150.0,120.0,1.0,155.0,389.04761904761904,0.11052631578947368,0.6,0.0,0.138460219478738
288,vigoroth,14,465,154.0,440,80,80,80,55,55,90,normal,,0.9047619047619048,1.0,73.0,150.0,75.24657534246575,150.0,120.0,1.0,215.0,533.8095238095239,0.2789473684210526,0.6,0.0,0.2259087791495199
289,slaking,20,1305,252.0,670,160,100,150,95,65,100,normal,,0.9047619047619048,1.0,83.0,150.0,76.12048192771084,150.0,150.0,1.0,315.0,741.9047619047619,0.5210526315789473,0.6,0.0,0.37165637860082307
290,nincada,5,55,53.0,266,45,90,31,30,30,40,bug,ground,1.0595238095238095,1.0714285714285714,29.0,120.0,61.48275862068966,120.0,120.0,1.0714285714285714,140.93333333333334,408.9761904761905,0.09578947368421052,0.48,0.6500000000000002,0.11795839048925469
291,ninjask,8,120,160.0,456,90,45,61,50,50,160,bug,flying,1.0238095238095237,1.1904761904761905,38.0,150.0,67.1842105263158,150.0,150.0,1.1904761904761905,131.04,620.4285714285713,0.29578947368421055,0.6,0.4999999999999998,0.10353909465020575
292,shedinja,8,12,83.0,236,90,45,1,30,30,40,bug,ghost,1.0,1.0476190476190477,35.0,150.0,70.22857142857143,150.0,150.0,1.0476190476190477,72.54545454545455,386.0,0.06421052631578947,0.6,0.4000000000000001,0.018284698840254396
293,whismur,6,163,48.0,240,51,23,64,51,23,28,normal,,0.9047619047619048,1.0,41.0,120.0,74.63414634146342,120.0,120.0,1.0,110.0,325.7142857142857,0.06842105263157895,0.48,0.0,0.07287379972565158
294,loudred,10,405,126.0,360,71,43,84,71,43,48,normal,,0.9047619047619048,1.0,47.0,130.0,73.72340425531915,120.0,130.0,1.0,170.0,443.3333333333333,0.19473684210526315,0.52,0.0,0.16032235939643347
295,exploud,15,840,221.0,490,91,63,104,91,73,68,normal,,0.9047619047619048,1.0,62.0,150.0,78.30645161290323,150.0,150.0,1.0,240.0,579.047619047619,0.33157894736842103,0.6,0.0,0.2623456790123457
296,makuhita,10,864,47.0,237,60,30,72,20,30,25,fighting,,1.0714285714285714,1.0714285714285714,62.0,150.0,71.45161290322581,150.0,120.0,1.0714285714285714,123.2,414.6428571428571,0.06526315789473684,0.6,0.7000000000000001,0.0921124828532236
297,hariyama,23,2538,166.0,474,120,60,144,40,60,50,fighting,,1.0714285714285714,1.0714285714285714,64.0,150.0,75.625,150.0,150.0,1.0714285714285714,246.4,668.5714285714286,0.31473684210526315,0.6,0.7000000000000001,0.2716735253772291
298,azurill,2,20,38.0,190,20,40,50,20,40,20,normal,fairy,0.9880952380952381,0.9523809523809523,37.0,120.0,69.05405405405405,120.0,110.0,0.9523809523809523,136.5,306.3095238095238,0.015789473684210527,0.48,0.35000000000000026,0.11149691358024691
299,nosepass,10,970,75.0,375,45,135,30,45,90,30,rock,,1.119047619047619,1.1428571428571428,48.0,250.0,82.08333333333333,250.0,140.0,1.1428571428571428,223.125,699.4047619047619,0.21052631578947367,1.0,0.9000000000000004,0.23775077160493827
300,skitty,6,110,52.0,260,45,45,50,35,35,50,normal,,0.9047619047619048,1.0,43.0,140.0,70.18604651162791,140.0,120.0,1.0,130.0,361.9047619047619,0.08947368421052632,0.56,0.0,0.10202331961591221
301,delcatty,11,326,140.0,400,65,65,70,55,55,90,normal,,0.9047619047619048,1.0,45.0,150.0,73.73333333333333,150.0,150.0,1.0,190.0,497.61904761904765,0.23684210526315788,0.6,0.0,0.1894718792866941
302,sableye,5,110,133.0,380,75,75,50,65,65,50,dark,ghost,1.0238095238095237,0.8809523809523809,71.0,150.0,71.45070422535211,150.0,150.0,0.8809523809523809,215.67567567567568,542.6190476190476,0.21578947368421053,0.6,0.4999999999999998,0.22689356022689355
303,mawile,6,115,133.0,380,85,85,50,55,55,50,steel,fairy,1.0595238095238095,0.7738095238095238,61.0,150.0,77.62295081967213,150.0,150.0,0.7738095238095238,245.53846153846152,561.547619047619,0.21578947368421053,0.6,0.6500000000000002,0.27041785375118704
304,aron,4,600,66.0,330,70,100,50,40,40,30,steel,rock,1.0833333333333335,1.0714285714285714,39.0,150.0,75.0,150.0,140.0,1.0714285714285714,177.33333333333334,520.0000000000001,0.1631578947368421,0.6,0.7500000000000008,0.17101051668952905
305,lairon,9,1200,151.0,430,90,140,60,50,50,40,steel,rock,1.0833333333333335,1.0714285714285714,39.0,140.0,71.15384615384616,130.0,140.0,1.0714285714285714,233.33333333333334,617.5000000000001,0.26842105263157895,0.56,0.7500000000000008,0.2526291723822588
306,aggron,21,3600,239.0,530,110,180,70,60,60,50,steel,rock,1.0833333333333335,1.0714285714285714,79.0,150.0,80.0632911392405,150.0,150.0,1.0714285714285714,289.3333333333333,736.6666666666667,0.3736842105263158,0.6,0.7500000000000008,0.33424782807498854
307,meditite,6,112,56.0,280,40,55,30,40,55,60,fighting,psychic,1.0357142857142856,1.0952380952380953,53.0,150.0,71.98113207547169,150.0,120.0,1.0952380952380953,127.82608695652172,445.3571428571428,0.11052631578947368,0.6,0.5499999999999996,0.09885489354088385
308,medicham,13,315,144.0,410,60,75,60,60,75,80,fighting,psychic,1.0357142857142856,1.0952380952380953,55.0,150.0,77.36363636363636,150.0,150.0,1.0952380952380953,191.7391304347826,579.9999999999999,0.24736842105263157,0.6,0.5499999999999996,0.19200662014671674
309,electrike,6,152,59.0,295,45,40,40,65,40,65,electric,,0.9761904761904762,0.9761904761904762,35.0,120.0,70.57142857142857,120.0,110.0,0.9761904761904762,122.92682926829269,405.1190476190476,0.12631578947368421,0.48,0.29999999999999993,0.09171434306935664
310,manectric,15,402,166.0,475,75,60,70,105,60,105,electric,,0.9761904761904762,0.9761904761904762,38.0,150.0,76.84210526315789,150.0,150.0,0.9761904761904762,194.6341463414634,610.1190476190476,0.3157894736842105,0.6,0.29999999999999993,0.19622603633443741
311,plusle,4,42,142.0,405,50,40,60,85,75,95,electric,,0.9761904761904762,0.9761904761904762,36.0,140.0,72.36111111111111,140.0,110.0,0.9761904761904762,179.26829268292684,532.0238095238095,0.24210526315789474,0.56,0.29999999999999993,0.1738306734919201
312,minun,4,42,142.0,405,40,50,60,75,85,95,electric,,0.9761904761904762,0.9761904761904762,36.0,140.0,72.36111111111111,140.0,110.0,0.9761904761904762,199.7560975609756,532.0238095238095,0.24210526315789474,0.56,0.29999999999999993,0.20369115728194317
313,volbeat,7,177,151.0,430,73,75,65,47,85,85,bug,,0.9761904761904762,1.0714285714285714,51.0,150.0,70.98039215686275,150.0,120.0,1.0714285714285714,210.0,566.1904761904761,0.26842105263157895,0.6,0.29999999999999993,0.21862139917695472
314,illumise,6,177,151.0,430,47,75,65,73,85,85,bug,,0.9761904761904762,1.0714285714285714,50.0,150.0,69.9,150.0,120.0,1.0714285714285714,210.0,566.1904761904761,0.26842105263157895,0.6,0.29999999999999993,0.21862139917695472
315,roselia,3,20,140.0,400,60,45,50,100,80,65,grass,poison,0.9642857142857142,1.0595238095238095,36.0,130.0,68.88888888888889,120.0,130.0,1.0595238095238095,165.1685393258427,511.0714285714285,0.23684210526315788,0.52,0.24999999999999964,0.15328062144541543
316,gulpin,4,103,60.0,302,43,53,70,43,53,40,poison,,0.9523809523809523,0.9761904761904762,44.0,250.0,76.36363636363636,250.0,120.0,0.9761904761904762,180.2926829268293,525.7142857142857,0.1336842105263158,1.0,0.19999999999999982,0.17532369768142128
317,swalot,17,800,163.0,467,73,83,100,73,83,55,poison,,0.9523809523809523,0.9761904761904762,50.0,250.0,80.8,250.0,150.0,0.9761904761904762,272.4878048780488,682.8571428571428,0.30736842105263157,1.0,0.19999999999999982,0.30969587473652516
318,carvanha,8,208,61.0,305,90,20,45,65,20,65,water,dark,1.0476190476190474,1.0476190476190477,42.0,120.0,68.45238095238095,120.0,110.0,1.0476190476190477,81.13636363636363,445.2380952380952,0.1368421052631579,0.48,0.5999999999999994,0.03080574261129815
319,sharpedo,18,888,161.0,460,120,40,70,95,40,95,water,dark,1.0476190476190474,1.0476190476190477,55.0,150.0,71.9090909090909,150.0,150.0,1.0476190476190477,143.1818181818182,639.0476190476189,0.3,0.6,0.5999999999999994,0.12123550317994763
320,wailmer,20,1300,80.0,400,70,35,130,70,35,60,water,,1.0714285714285714,1.0,39.0,200.0,77.3076923076923,200.0,150.0,1.0,200.0,642.8571428571429,0.23684210526315788,0.8,0.7000000000000001,0.20404663923182442
321,wailord,145,3980,175.0,500,90,45,170,90,45,60,water,,1.0714285714285714,1.0,41.0,200.0,80.73170731707317,200.0,150.0,1.0,260.0,750.0,0.34210526315789475,0.8,0.7000000000000001,0.29149519890260633
322,numel,7,240,61.0,305,60,40,60,65,45,35,fire,ground,1.119047619047619,1.0238095238095237,49.0,130.0,71.73469387755102,120.0,130.0,1.0238095238095237,141.62790697674419,486.7857142857143,0.1368421052631579,0.52,0.9000000000000004,0.11897071490094746
323,camerupt,19,2200,161.0,460,100,70,70,105,75,40,fire,ground,1.119047619047619,1.0238095238095237,53.0,250.0,82.9245283018868,250.0,150.0,1.0238095238095237,210.00000000000003,794.5238095238095,0.3,1.0,0.9000000000000004,0.21862139917695478
324,torkoal,5,804,165.0,470,85,140,70,85,70,20,fire,,1.0952380952380953,1.0,54.0,250.0,85.18518518518519,250.0,150.0,1.0,280.0,788.5714285714287,0.3105263157894737,1.0,0.8000000000000006,0.32064471879286693
325,spoink,7,306,66.0,330,25,35,60,70,80,60,psychic,,1.0,1.0952380952380953,40.0,120.0,70.5,120.0,120.0,1.0952380952380953,159.78260869565216,450.0,0.1631578947368421,0.48,0.4000000000000001,0.1454307568438003
326,grumpig,9,715,165.0,470,45,65,80,90,110,80,psychic,,1.0,1.0952380952380953,65.0,150.0,77.0,150.0,150.0,1.0952380952380953,232.82608695652172,620.0,0.3105263157894737,0.6,0.4000000000000001,0.2518898729647522
327,spinda,11,50,126.0,360,60,60,60,60,60,60,normal,,0.9047619047619048,1.0,51.0,150.0,73.52941176470588,150.0,100.0,1.0,180.0,461.42857142857144,0.19473684210526315,0.6,0.0,0.1748971193415638
328,trapinch,7,150,58.0,290,100,45,45,45,45,10,ground,,1.1428571428571428,1.0476190476190477,39.0,150.0,70.25641025641026,120.0,150.0,1.0476190476190477,128.86363636363635,502.85714285714283,0.12105263157894737,0.6,1.0,0.10036709689487465
329,vibrava,11,153,119.0,340,70,50,50,50,50,70,ground,dragon,1.0595238095238095,1.119047619047619,63.0,150.0,74.68253968253968,150.0,150.0,1.119047619047619,134.04255319148936,519.1666666666666,0.1736842105263158,0.6,0.6500000000000002,0.10791524384904999
330,flygon,20,820,234.0,520,100,80,80,80,80,100,ground,dragon,1.0595238095238095,1.119047619047619,80.0,150.0,72.875,150.0,150.0,1.119047619047619,214.46808510638297,709.8809523809524,0.3631578947368421,0.6,0.6500000000000002,0.22513352596094913
331,cacnea,4,513,67.0,335,85,40,50,85,40,35,grass,,0.9761904761904762,1.1428571428571428,52.0,150.0,67.98076923076923,150.0,130.0,1.1428571428571428,113.75,473.45238095238096,0.16842105263157894,0.6,0.29999999999999993,0.07833933470507544
